K=25, k=6, Hardness=hard, accuracy=26.600000 
K=35, k=6, Hardness=hard, accuracy=36.200000 
K=50, k=6, Hardness=hard, accuracy=47.400000 
K=75, k=6, Hardness=hard, accuracy=52.000000 
K=100, k=6, Hardness=hard, accuracy=55.400000 
K=200, k=6, Hardness=hard, accuracy=58.200000 
K=150, k=6, Hardness=hard, accuracy=61.800000 
K=300, k=6, Hardness=hard, accuracy=67.800000 
K=400, k=6, Hardness=hard, accuracy=68.000000 
K=500, k=6, Hardness=hard, accuracy=70.200000 
K=600, k=6, Hardness=hard, accuracy=73.200000 
K=800, k=6, Hardness=hard, accuracy=77.000000 
K=784, k=6, Hardness=hard, accuracy=77.600000 
K=700, k=6, Hardness=hard, accuracy=78.200000 
K=1000, k=6, Hardness=hard, accuracy=81.000000 
K=25, k=7, Hardness=easy, accuracy=37.200000 
K=35, k=7, Hardness=easy, accuracy=42.000000 
K=50, k=7, Hardness=easy, accuracy=53.800000 
K=75, k=7, Hardness=easy, accuracy=58.000000 
K=100, k=7, Hardness=easy, accuracy=66.000000 
K=150, k=7, Hardness=easy, accuracy=72.400000 
K=200, k=7, Hardness=easy, accuracy=72.800000 
K=300, k=7, Hardness=easy, accuracy=83.600000 
K=500, k=7, Hardness=easy, accuracy=84.200000 
K=600, k=7, Hardness=easy, accuracy=85.200000 
K=400, k=7, Hardness=easy, accuracy=85.400000 
K=700, k=7, Hardness=easy, accuracy=86.800000 
K=784, k=7, Hardness=easy, accuracy=88.200000 
K=1000, k=7, Hardness=easy, accuracy=89.200000 
K=800, k=7, Hardness=easy, accuracy=91.200000 
K=25, k=7, Hardness=hard, accuracy=21.600000 
K=35, k=7, Hardness=hard, accuracy=32.000000 
K=50, k=7, Hardness=hard, accuracy=43.600000 
K=75, k=7, Hardness=hard, accuracy=52.000000 
K=100, k=7, Hardness=hard, accuracy=53.600000 
K=200, k=7, Hardness=hard, accuracy=59.000000 
K=150, k=7, Hardness=hard, accuracy=63.400000 
K=300, k=7, Hardness=hard, accuracy=65.600000 
K=400, k=7, Hardness=hard, accuracy=66.200000 
K=500, k=7, Hardness=hard, accuracy=70.600000 
K=600, k=7, Hardness=hard, accuracy=74.600000 
K=784, k=7, Hardness=hard, accuracy=76.000000 
K=700, k=7, Hardness=hard, accuracy=77.200000 
K=1000, k=7, Hardness=hard, accuracy=79.200000 
K=800, k=7, Hardness=hard, accuracy=79.800000 
K=25, k=8, Hardness=easy, accuracy=38.200000 
K=35, k=8, Hardness=easy, accuracy=45.600000 
K=50, k=8, Hardness=easy, accuracy=52.800000 
K=75, k=8, Hardness=easy, accuracy=60.000000 
K=100, k=8, Hardness=easy, accuracy=66.200000 
K=150, k=8, Hardness=easy, accuracy=74.000000 
K=200, k=8, Hardness=easy, accuracy=76.200000 
K=300, k=8, Hardness=easy, accuracy=82.600000 
K=400, k=8, Hardness=easy, accuracy=83.600000 
K=500, k=8, Hardness=easy, accuracy=84.600000 
K=600, k=8, Hardness=easy, accuracy=85.400000 
K=784, k=8, Hardness=easy, accuracy=86.600000 
K=800, k=8, Hardness=easy, accuracy=87.800000 
K=1000, k=8, Hardness=easy, accuracy=89.800000 
K=700, k=8, Hardness=easy, accuracy=90.400000 
K=25, k=8, Hardness=hard, accuracy=26.400000 
